n: 1, type: constant, time: 0.000000 seconds
n: 1, type: balanced, time: 0.000000 seconds
n: 2, type: constant, time: 0.000000 seconds
n: 2, type: balanced, time: 0.000000 seconds
n: 3, type: constant, time: 0.000000 seconds
n: 3, type: balanced, time: 0.000000 seconds
n: 4, type: constant, time: 0.000000 seconds
n: 4, type: balanced, time: 0.000000 seconds
n: 5, type: constant, time: 0.000000 seconds
n: 5, type: balanced, time: 0.000000 seconds
n: 6, type: constant, time: 0.000000 seconds
n: 6, type: balanced, time: 0.000000 seconds
n: 7, type: constant, time: 0.000000 seconds
n: 7, type: balanced, time: 0.000000 seconds
n: 8, type: constant, time: 0.000000 seconds
n: 8, type: balanced, time: 0.000000 seconds
n: 9, type: constant, time: 0.000000 seconds
n: 9, type: balanced, time: 0.000000 seconds
n: 10, type: constant, time: 0.000000 seconds
n: 10, type: balanced, time: 0.000000 seconds
n: 11, type: constant, time: 0.000000 seconds
n: 11, type: balanced, time: 0.000000 seconds
n: 12, type: constant, time: 0.000000 seconds
n: 12, type: balanced, time: 0.000000 seconds
n: 13, type: constant, time: 0.000000 seconds
n: 13, type: balanced, time: 0.000000 seconds
n: 14, type: constant, time: 0.000000 seconds
n: 14, type: balanced, time: 0.000000 seconds
n: 15, type: constant, time: 0.000998 seconds
n: 15, type: balanced, time: 0.000000 seconds
n: 16, type: constant, time: 0.000959 seconds
n: 16, type: balanced, time: 0.000000 seconds
n: 17, type: constant, time: 0.003016 seconds
n: 17, type: balanced, time: 0.000000 seconds
n: 18, type: constant, time: 0.000000 seconds
n: 18, type: balanced, time: 0.000000 seconds
n: 19, type: constant, time: 0.015349 seconds
n: 19, type: balanced, time: 0.000000 seconds
n: 20, type: constant, time: 0.016622 seconds
n: 20, type: balanced, time: 0.000000 seconds
n: 21, type: constant, time: 0.049895 seconds
n: 21, type: balanced, time: 0.000000 seconds
n: 22, type: constant, time: 0.084779 seconds
n: 22, type: balanced, time: 0.000000 seconds
n: 23, type: constant, time: 0.199433 seconds
n: 23, type: balanced, time: 0.000000 seconds
n: 24, type: constant, time: 0.389690 seconds
n: 24, type: balanced, time: 0.000000 seconds
n: 25, type: constant, time: 1.165681 seconds
n: 25, type: balanced, time: 0.000000 seconds
n: 26, type: constant, time: 1.692680 seconds
n: 26, type: balanced, time: 0.000000 seconds
n: 27, type: constant, time: 4.775646 seconds
n: 27, type: balanced, time: 0.000000 seconds
n: 28, type: constant, time: 8.138637 seconds
n: 28, type: balanced, time: 0.000000 seconds
n: 29, type: constant, time: 16.444787 seconds
n: 29, type: balanced, time: 0.000000 seconds
n: 30, type: constant, time: 29.801787 seconds
n: 30, type: balanced, time: 0.003792 seconds
